BotName Bulent
Time LocX LocY LocZ Health Shoot AltSh EnVis Jump Crouch RotPitch RotYaw Weapon ELocX ELocY ELocZ HVic WVic HTaken WTaken EName
36022 1833.64 -1694.83 54.9 199 0 0 0 0 0 65298 23862 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
36271 1754.67 -1606.96 54.9 199 0 0 0 0 0 65041 25614 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
36518 1650.0 -1537.76 52.2 199 0 0 0 0 0 65298 27680 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
36767 1548.06 -1489.56 49.9 199 0 0 0 0 0 63756 30704 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
37014 1428.91 -1465.62 49.9 199 0 0 0 0 0 63499 31142 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
37261 1309.67 -1449.85 49.9 199 0 0 0 0 0 62213 32170 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
37511 1192.69 -1441.2 66.62 199 0 0 0 0 0 61699 31808 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
37757 1071.95 -1441.46 25.49 199 0 0 0 0 0 61956 34822 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
38005 957.8 -1462.2 -19.04 199 0 0 0 0 0 61956 34534 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
38252 833.78 -1477.52 -67.13 199 0 0 0 0 0 62213 33760 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
38500 718.42 -1510.92 -101.5 199 0 0 0 0 0 64527 42540 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
38750 618.98 -1573.41 -142.15 199 0 0 0 0 0 64527 42540 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
38997 565.21 -1678.68 -142.15 199 0 0 0 0 0 65041 50552 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
39244 575.85 -1796.27 -142.15 199 0 0 0 0 0 64784 50726 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
39492 610.25 -1907.62 -142.15 199 0 0 0 0 0 64270 56600 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
39741 685.69 -1999.57 -142.15 199 0 0 0 0 0 64013 56916 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
39989 709.04 -2118.55 -142.15 199 0 0 0 0 0 63756 57872 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
40237 727.86 -2238.13 -142.15 199 0 0 0 0 0 63499 62042 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
40483 822.64 -2306.96 -142.15 199 0 0 0 0 0 63242 62626 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
40731 931.02 -2338.95 -142.15 199 0 0 0 0 0 63242 62664 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
40979 1039.9 -2379.76 -142.15 199 0 0 0 0 0 63242 62664 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
41182 1104.5 -2460.16 -142.15 199 0 0 0 0 0 63242 63592 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
41431 1217.58 -2491.41 -142.15 199 0 0 0 0 0 64013 63858 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
41676 1339.64 -2511.82 -142.15 199 0 0 0 0 0 20 63744 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
41926 1451.07 -2530.62 -140.41 199 0 0 0 0 0 1285 63820 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
HEALTH_PICKED at 42024 1536.0 -2554.0 -125.29
42173 1571.75 -2544.57 -88.64 199 0 0 0 0 0 3084 146 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
HEALTH_PICKED at 42271 1656.0 -2556.0 -73.86
